Name,Sex,Age,Height,Weight,Team
Jacqueline Frank (-DeLuca),,,,,
Kerstin Frank,,,,,
Mria Frank (-Renn),,,,,
Marko Frank,,,,,
Oskar Frank,,,,,
Robert Frank,,,,,
Roland John Herbert Frank,,,,,
"Steven ""Steve"" Frank",,,,,
Tanja Chiara Frank,,,,,
Tobias Frank,,,,,
"Victor Henry ""Vic"" Frank, Jr.",,,,,
William Gottlieb (Wilhelm-) Frank,,,,,
Yvonne Frank,,,,,
Andreas Franke,,,,,
Angela Franke,,,,,
Bernd Franke,,,,,
Egon Johann Franke,,,,,
Ernst Ludwig Franke,,,,,
Heinz Franke,,,,,
Mario Franke,,,,,
Nikki Valerie Franke (Tomlinson-),,,,,
Otto Franke,,,,,
Paul Franke,,,,,
Stphane Oliver Franke,,,,,
Elbieta Franke-Cymerman,,,,,
"Alexander ""Lex"" Franken",,,,,
Michael Frankenberg,,,,,
Karel Frankenstein (-Frank),,,,,
Nicholas Alex Frankl,,,,,
Bernard Wallis Franklin,,,,,
"Melissa Jeanette ""Missy"" Franklin",,,,,
Ryan Ray Franklin,,,,,
Trent Franklin,,,,,
Jure Franko,,,,,
Martina Franko (Holan-),,,,,
Nikola Frankovi,,,,,
Tihomir Frankovi,,,,,
Valner Frankovi,,,,,
"Harold ""Harry"" Franks",,,,,
Sheryl Franks,,,,,
Joanne Marie Franks-Edens,,,,,
Olof Emil Rolf Franksson,,,,,
Bengt Gran Frnnfors,,,,,
Sonia Franquet Calvente,,,,,
Arnold Franqui Lopez,,,,,
"Francisco Srgio ""Fransergio"" Garca",,,,,
Alexander Fransson,,,,,
Anna Jenny Eva Maria Fransson (Magnusson-),,,,,
Mats Bertil Fransson,,,,,
Uno Lorentz Fransson,,,,,
Aleksey Alekseyevich Frantsuzov,,,,,
Angus MacDonald Frantz,,,,,
mile Frantz,,,,,
Paul Frantz,,,,,
Valria Frantz-Herpich,,,,,
Jean-Pierre Frantzen,,,,,
Jrgen Nagel Frantzen,,,,,
Odd Bernhard Frantzen,,,,,
Antoni Marian Franz,,,,,
Georg Franz,,,,,
Max Franz,,,,,
Peter Franz,,,,,
Rudolf Franz,,,,,
Franzen,,,,,
Arno Franzen,,,,,
Rune Ingemar Hubert Franzn,,,,,
Johan Marcus Gunnar Franzn,,,,,
Lauro Franzen,,,,,
Malene Franzen,,,,,
Karl Gustav Mathias Franzn,,,,,
Nilo Anselmo Franzen,,,,,
Erwin Franzkowiak,,,,,
Viktor Franzl,,,,,
Joelle Franzmann,,,,,
Tobias Franzmann,,,,,
Simona Frapporti,,,,,
Silvio Fraquelli,,,,,
Damjan Fras,,,,,
Thophile Joseph Fras,,,,,
Erminio Frasca,,,,,
Pauline Frasca,,,,,
Raffaele Frasca,,,,,
Mario Fraschini,,,,,
Otto Frdorf,,,,,
Brett Micheal Fraser,,,,,
Dawn Lorraine Fraser,,,,,
Donald Fraser,,,,,
Donna Karen Fraser,,,,,
Elizabeth Fraser (-Walker),,,,,
Erroll Canute Fraser,,,,,
"Gordon ""Gord"" Fraser",,,,,
Gretchen Claudia Fraser (Kunigk-),,,,,
Harold Richard Fraser,,,,,
"Harold William ""Harry"" Fraser",,,,,
Hew Thomson Fraser,,,,,
Hugh Lloyd Fraser,,,,,
"Ingeborg ""Ing"" Fraser (Haussler-)",,,,,
"John Alexander ""Jack"" Fraser",,,,,
James Earle Fraser,,,,,
Karen Fraser,,,,,
"Kathleen ""KC"" Fraser",,,,,
Keith Fraser,,,,,
Kristin Fraser,,,,,
Lindsey Fraser,,,,,
Louise Marion Fraser (-Tate),,,,,
Marcus Fraser,,,,,
Shaune David Fraser,,,,,
Simon Fraser,,,,,
"Steven Howard ""Steve"" Fraser",,,,,
"Susanna Barbara ""Sue"" Fraser",,,,,
"Suzannah ""Suzie"" Fraser",,,,,
Warren Fraser,,,,,
Wendy Katrina Fraser,,,,,
Thomas William Fraser-Holmes,,,,,
James Fraser-Mackenzie,,,,,
Shelly-Ann Fraser-Pryce,,,,,
Loris Frasnelli,,,,,
Luana Frasnelli,,,,,
Wilhelm Frass,,,,,
Hervarth Frass von Friedenfeldt,,,,,
Adriano Frassinelli,,,,,
Agostino Frassinetti,,,,,
Teresa Frassinetti,,,,,
Luigi Carmine Fratangelo,,,,,
Lindel Frater,,,,,
Michael Audley Frater,,,,,
Robert Frater,,,,,
Viktria Frter,,,,,
Jennifer Fratesi,,,,,
Rashko Vasilev Fratev,,,,,
Linda Sue Fratianne,,,,,
Mircea Fric,,,,,
"Corneliu ""Cornel"" Fril",,,,,
Dumitru Fril,,,,,
Patrizia Fratini,,,,,
Pierpaolo Frattini,,,,,
Vctor J. Frattini Bononi,,,,,
Bruno Giuseppe Fratus,,,,,
Franz Frauenlob,,,,,
"Johann ""Hans"" Frauenlob",,,,,
Franz Frauneder,,,,,
Angela Frautschi,,,,,
"Michael ""Mike"" Fray",,,,,
Hugues Frayer,,,,,
Jared Frayer,,,,,
Michael Bruce Frayne,,,,,
Henry Max Frayne,,,,,
Maurice Eugne Fraysse,,,,,
Nuno Frazo,,,,,
Rui Frazo,,,,,
Alfonso Gerald Frazer,,,,,
Dwight Frazer,,,,,
Kim Frazer,,,,,
Merlene Frazer,,,,,
William David Frazer,,,,,
Herman Ronald Frazier,,,,,
"Joseph ""Joe"" Frazier",,,,,
"Edwin Hartwell ""Ted"" Frazier",,,,,
"Frederick Charles Maitland ""Freddie"" Freake",,,,,
Marcel Gaston Charles Frbourg,,,,,
Richard Frece,,,,,
Nuno Miguel Frechaut Barreto,,,,,
Sylvie Frchette (-Van Strydonck),,,,,
Juan Carlos Frecia Alba,,,,,
Fiona Mary Emma Freckleton (-Watson),,,,,
"Frederico ""Fred"" Rodrigues de Oliveira",,,,,
Niels Christian Fredborg,,,,,
Annika Sofia Wiel Fredn (-Hvannberg),,,,,
Georges Frdric,,,,,
"Francis Harland ""Frank"" Frederick",,,,,
Jane Wardwell Frederick,,,,,
Karl Telford Frederick,,,,,
Manuel Frederick,,,,,
Priscilla Frederick,,,,,
Alistar Grant Fredericks,,,,,
Clayton Fredericks,,,,,
Cornel Fredericks,,,,,
"Frank ""Frankie"" Fredericks",,,,,
Harold Fredericks,,,,,
Lucinda Fredericks (Murray-),,,,,
Stanton Duncan Fredericks,,,,,
Christian Wig Frederiksen,,,,,
Grete Ortved Frederiksen (-Therkildsen),,,,,
Hans Birger William Frederiksen,,,,,
Helle Houmann Frederiksen,,,,,
Holger Frederiksen,,,,,
Johnny Frederiksen,,,,,
Kaj Frederiksen,,,,,
Ove Kamphwener Frederiksen,,,,,
Svend Aage Frederiksen,,,,,
Viggo Frederiksen,,,,,
Sverre Fredheim,,,,,
L. Frediani,,,,,
Hans Gunnar Fredin,,,,,
Eva Malin Ingegerd Fredin,,,,,
Tucker Daniel Fredricks,,,,,
"Sigurdur Franklin ""Frank"" Fredrickson",,,,,
Jens Fredric Fredricson,,,,,
Carl Peder Fredricson,,,,,
Gunnar Johannes Fredriksen,,,,,
Lise Birgitte Vaksdal Fredriksen,,,,,
Carl Yngvar Fredriksen,,,,,
Anette Carina Helene Fredriksson (-Ringstrm),,,,,
Erik Algot Fredriksson,,,,,
Gert Fridolf Fredriksson,,,,,
John Ferdinand Fredriksson,,,,,
Kjell Arnold Fredriksson,,,,,
Knut Rudolf Fredriksson,,,,,
Stig Magnus Ingemar Fredriksson,,,,,
Johan Fredrik Mathias Fredriksson,,,,,
Karl Daniel Thobias Fredriksson,,,,,
Duncan Seth Free,,,,,
James C. Freeborn,,,,,
Amanda Louise Freed,,,,,
Arthur Reeblin Freedlander,,,,,
Nicole L. Freedman,,,,,
Yvan Freedman,,,,,
Joel Daniel Freeland,,,,,
Alice Elizabeth Freeman,,,,,
"Catherine Astrid Salome ""Cathy"" Freeman",,,,,
David Freeman,,,,,
Emily Kaye Freeman,,,,,
Eversleigh Campbell Freeman,,,,,
Georgiana Freeman,,,,,
Gerald Freeman,,,,,
Harry Scott Freeman,,,,,
"Hovey Thomas Freeman, Jr.",,,,,
Ian Freeman,,,,,
James Black Freeman,,,,,
Joseph Bertham Freeman,,,,,
Justin Freeman,,,,,
Kevin John Freeman,,,,,
Kris Freeman,,,,,
"Mary Gray Freeman (-Kelly, -Spitzer)",,,,,
Mavis Anne Freeman,,,,,
Michelle Freeman,,,,,
"Roy Edward Michael ""Mike"" Freeman",,,,,
Muriel Bolton Freeman (Smalley-),,,,,
Noel Frederick Freeman,,,,,
"Norman Douglas Freeman, Sr.",,,,,
"Ronald John ""Ron"" Freeman, III",,,,,
Sally Freeman,,,,,
Walter Freeman,,,,,
Harry Freeman-Jackson,,,,,
Bertus Johannes Freese,,,,,
"Johann ""Hans"" Heinrich Freese",,,,,
Horst Freese,,,,,
Peter Fregene,,,,,
Carlo Fregosi,,,,,
"Lynne-Marie ""Lynn"" Freh (-Evania)",,,,,
Christopher Robert Frehlick,,,,,
Fabian Frei,,,,,
Hans Frei,,,,,
Karl Frei,,,,,
Otto Frei,,,,,
Peter Frei,,,,,
Rtus Frei,,,,,
Sandra Frei,,,,,
Tanya Frei (Zrcher-),,,,,
Thomas Frei,,,,,
Ann-Margreth Frei-Kck (-Hall),,,,,
Karl Freiberger,,,,,
Karl-Heinz Freiberger,,,,,
"Marcus Ross ""Marc"" Freiberger",,,,,
Ralfs Freibergs,,,,,
"Adolf ""Dolfi"" Freiburghaus",,,,,
Georges Freiburghaus,,,,,
Thomas Freienstein,,,,,
Roland Freier,,,,,
Rico Freiermuth,,,,,
Stephan Timo Freigang,,,,,
Pascaline Freiher (-Scharapan),,,,,
Carl-Friedrich Freiherr von Langen-Parow,,,,,
Roland Freihoff,,,,,
Sylvain Freiholz,,,,,
Karl Gustav Herbert Freij,,,,,
Leif Roland Freij,,,,,
Maciej Freimut,,,,,
Jrg Freimuth,,,,,
Magnar Freimuth,,,,,
Rico Freimuth,,,,,
Uwe Freimuth,,,,,
Martin Freinademetz,,,,,
Cludio da Matta Freire,,,,,
Elsa Vicente Freire,,,,,
scar Freire Gmez,,,,,
Dieter Freise,,,,,
"Leonhard ""Leo"" Freisinger",,,,,
Holger Freitag,,,,,
Jacques Freitag,,,,,
John W. Freitag,,,,,
Kathrin Freitag,,,,,
Meike Freitag,,,,,
Richard Freitag,,,,,
Uschi Freitag,,,,,
Walter Freitag,,,,,
Werner Freitag,,,,,
Bernardo Diogo Melo e Santos de Freitas,,,,,
Cssio de Paiva Freitas,,,,,
Clinio Freitas,,,,,
Daniel Freitas Rodrguez,,,,,
Hlio Mesquita de Freitas,,,,,
Luiz Cludio Freitas,,,,,
Marcos Andr Sousa da Silva Freitas,,,,,
Marta Filipa Pen Oliveira Freitas,,,,,
Nolberto Freitas,,,,,
Patrcia da Costa Freitas,,,,,
Jrgen Freiwald,,,,,
David Freixa Paloma,,,,,
"Santiago ""Santi"" Freixa Escude",,,,,
Polona Frelih,,,,,
Kazimierz Frelkiewicz,,,,,
Thomas Francis Fremantle,,,,,
Karl Frenademez,,,,,
"William Eagleton Frenaye, Jr.",,,,,
Charles Martin French,,,,,
Colin Victor French,,,,,
John French,,,,,
John Colin French,,,,,
"Katherine Elizabeth ""Kate"" French",,,,,
Linda Jean French,,,,,
Mark French,,,,,
Nathan Alexander P. French,,,,,
Robert Edward French,,,,,
"Susan ""Sue"" French-Lee",,,,,
"John ""Jack"" Frendo Azzopardi",,,,,
Peter Frenette,,,,,
Peter Frenkel,,,,,
Antoaneta Nikolova Frenkeva,,,,,
George Michael Frenn,,,,,
Edward Williston Frentz,,,,,
Eric Frenzel,,,,,
Henning Frenzel,,,,,
Monique Freres,,,,,
Courtney Frerichs,,,,,
Nico Petrus Johannes Freriks,,,,,
Luigi Freroni,,,,,
Germn Julio Frers Lynch,,,,,
Pietro Freschi,,,,,
Luca Fresco,,,,,
Walter Frescura,,,,,
Christel Frese (-Gerber),,,,,
Andrew Freshwater,,,,,
Salvatore Fresi,,,,,
Per Erik Fresk,,,,,
Petros Freskalakis,,,,,
Jean Freslon,,,,,
Roberto Luis Fresnedoso Prieto,,,,,
Max Marie Camille Alexis Fresson,,,,,
mile Frteur,,,,,
Henri Frteur,,,,,
"Desmond John ""Des"" Fretwell",,,,,
Heinrich Fretwurst,,,,,
Axel Freudenberg,,,,,
"Sidney A. ""Sid"" Freudenstein",,,,,
Charles Freuler,,,,,
Urs Freuler,,,,,
"William Rudolph ""Bill"" Freund",,,,,
Roland Freund,,,,,
Severin Freund,,,,,
uro Frojnd (Freund),,,,,
Andreas Frey,,,,,
Chesen Beattie Frey,,,,,
Fritz Frey,,,,,
Herrad Frey,,,,,
Julius Frey,,,,,
Karl-Richard Frey,,,,,
Konrad Frey,,,,,
Kurt Frey,,,,,
Max Frey,,,,,
Oszkr Frey,,,,,
Palle Frey,,,,,
Peter Frey,,,,,
Simon Frey,,,,,
Stefan Frey,,,,,
Hertha Frey-Dexler,,,,,
Heino Ado Freyberg,,,,,
Friedrich Wilhelm Werner Freyberg,,,,,
Sigismund Freyer,,,,,
"Philipus Thomas ""Philip"" Freylinck",,,,,
"Henri ""Heng"" Freylinger",,,,,
Emil Freymark,,,,,
"Heinrich ""Heinz"" Freyschmidt",,,,,
"Ivan ""Ivica"" Frgi",,,,,
Jorge Frias,,,,,
Juan Frias,,,,,
Pedro Frias Reynoso,,,,,
Virgilio Frias,,,,,
Daniel Joel Friberg,,,,,
Sven Richard Friberg,,,,,
Johan Erik Friborg,,,,,
Yann Fricheteau,,,,,
Albert Frick,,,,,
Arnold Frick,,,,,
Carole Helen Frick (-Smith),,,,,
"Herman ""Harvey"" Frick",,,,,
Xaver Frick,,,,,
"Xaver Frick, Jr.",,,,,
Jrg Fricke,,,,,
Olaf Fricke,,,,,
Roman Fricke,,,,,
Siegfried Fricke,,,,,
Sandrine Fricot,,,,,
Knut Hilding Fridell,,,,,
"Kristmundur N. ""Chris"" Fridfinnson",,,,,
Eitan Fridlander,,,,,
Karl Fridlin,,,,,
Gal Fridman,,,,,
Limor Fridman,,,,,
Botjan Fridrih,,,,,
"Ausrele ""Ausra"" Fridrikas (Zhiukien-)",,,,,
A. J. J. Fridt,,,,,
Vitaly Valeryevich Fridzon,,,,,
Ferdinand Friebe,,,,,
Volker Fried,,,,,
Harry Gaylord Frieda,,,,,
John Merrill Friedberg,,,,,
Paul Ronald Friedberg,,,,,
Oscar Charles Friede,,,,,St. Louis Southwest Turnverein #2-3
Charles Michael Friedek,,,,,
"Bradley Howard ""Brad"" Friedel",,,,,
Arturo Manuel Friedemann Heim,,,,,
Paul Frieden,,,,,
Tanja Frieden,,,,,
Inge Friedenfelds,,,,,
Mariano Friedick,,,,,
Ren Friedl,,,,,
Edgar Friedli,,,,,
Sandra Friedli (-Jni),,,,,
Arnold Aaron Friedman,,,,,
"Michael ""Mike"" Friedman",,,,,
Ze'ev Friedman,,,,,
Ariane Friedrich (Tempel-),,,,,
Barbara Ann Friedrich (-Parcinski),,,,,
Elwyn Friedrich,,,,,
Francesco Friedrich,,,,,
Hans Friedrich,,,,,
Heike Friedrich,,,,,
Jrg Friedrich,,,,,
Karlheinz Friedrich,,,,,
Leopold Friedrich,,,,,
Roberto Friedrich,,,,,
Tadeusz Friedrich,,,,,
William Friedrich,,,,,
,,,,,"Socialer Turnverein, Detroit"
"George Shelby ""Buddy"" Friedrichs, Jr.",,,,,
Maike Friedrichsen (-Dieckmann),,,,,
Johan Mohr Friele,,,,,
Hugo Morris Friend,,,,,
Andrew Allison Hank Frierson,,,,,
Gudrun Kristina Fries,,,,,
Karl Heinz Friesen,,,,,
"Ronald George ""Ron"" Friesen",,,,,
Richard Friesicke,,,,,
Jan Friesinger,,,,,
"Anna Christine ""Anni"" Friesinger-Postma",,,,,
Reiner Frieske,,,,,
Bruno Engelbrecht Frietsch,,,,,
Taimuraz Friev Naskidaeva,,,,,
Ernst Peter Ltken Frigast,,,,,
Ugo Frigerio,,,,,
Eric Gautrey Fright,,,,,
Daniele Frignani,,,,,
Giovanni Frigo,,,,,
Romeo Frigo,,,,,
Dezs Lajos Frigyes (Fritsch),,,,,
Andreas Alexander Carl Johan Friis,,,,,
Knud Erik Friis,,,,,
Jarle Friis,,,,,
Lotte Friis,,,,,
Martin Friis,,,,,
Rasmus Friis,,,,,
Maurice Emmett Frilot,,,,,
Alexandru Frim,,,,,
Jaakko Johannes Friman,,,,,
Lasse Antero Friman,,,,,
"Oskar David ""Oskari"" Friman",,,,,
Doru Frncu,,,,,
Elmar Frings,,,,,
Roberto Frinolli Puzzilli,,,,,
Giorgio Frinolli Puzzilli,,,,,
Pavel Frinta,,,,,
Vendula Frintov,,,,,
Rodica Frntu,,,,,
"Peter Kemp ""Kim"" Fripp",,,,,
Jean Friquet,,,,,
Kristijan Fris,,,,,
Angelo Frisa,,,,,
Earl Peter Frisbie,,,,,
Jean-Pierre Frisch,,,,,
Kristian Peter Johannes Ansgar Frisch,,,,,
Hans Frischknecht,,,,,
Paulo Jos Frischknecht,,,,,
Thomas Frischknecht,,,,,
Erik Ferdinand Frisell,,,,,
Erik Hjalmar Frisell,,,,,
Frants Gerhardt Charles William Frisenfeldt,,,,,
Harriet Whitney Frishmuth,,,,,
Bruno Frison,,,,,
Enzo Frisoni,,,,,
Guido Frisoni,,,,,
Raoul Georges Fristeau,,,,,
Paal Johan Frisvold,,,,,
Helen Audrey Ray Frith (-Searle),,,,,
Anna Katarina Elisabet Frithioff (-Johansson),,,,,
Frederick William Fritsch,,,,,
Hans Fritsch,,,,,
Paul Franois Nicolas Fritsch,,,,,
Walter Fritsch,,,,,
Kthi Fritschi,,,,,
"Friedrich Wilhelm ""Fritz"" Braun",,,,,
Aim Lucien G. Fritz,,,,,
Alexandru Fritz,,,,,
"William Duncan ""Bill"" Fritz",,,,,
"William Howard ""Bill"" Fritz, Jr.",,,,,
Franziska Fritz,,,,,
"Johann ""Hans"" Fritz",,,,,
Henning Fritz,,,,,
Claes Jesper Fritz,,,,,
Laura Fritz,,,,,
"Pieternella ""Nel"" Fritz (-Zandee)",,,,,
Raymond E. Fritz,,,,,
"Stephen Thomas ""Steve"" Fritz",,,,,
Herbert Fritzenwenger,,,,,
Anna-Lena Katarina Fritzon,,,,,
Manuela Friz,,,,,
Sultana Frizell,,,,,
Mary Frizzell (-Thomasson),,,,,
Bjarni sgeir Fririksson,,,,,
sleifur Fririksson,,,,,
Slvka Frniakov,,,,,
Birgitte Lyhning Froberg (-Secher),,,,,
Bengt Axel Eugn Frbom,,,,,
Jan Frodeno,,,,,
Cornelia Froelich,,,,,
Adam Froese,,,,,
Franjo Frelih (Frhlich),,,,,
Gottlieb Frhlich,,,,,
Rainer Frhlich,,,,,
Silvia Frhlich,,,,,
Karin Frohner (-Gaiser),,,,,
Isaac Froimovich Schejter,,,,,
Robert Froissart,,,,,
Otto Froitzheim,,,,,
"Robert Charles ""Bob"" Frojen",,,,,
Lars Arne Frlander,,,,,
Karl Folke Frln,,,,,
Nils Sture Vilhelm Frln,,,,,
Isolde Frlian,,,,,
Michael Frolk,,,,,
Aleksandr Aleksandrovich Frolov,,,,,
Ilya Mikhaylovich Frolov,,,,,
Serhiy Anatoliyovych Frolov,,,,,
Vasily Frolov,,,,,
Vladislav Yuryevich Frolov,,,,,
Yevgeny Vasilyevich Frolov,,,,,
Inna Vasylivna Frolova,,,,,
Lyudmila Valeryevna Frolova,,,,,
Nina Nikolayevna Frolova,,,,,
Claus Jrgen From,,,,,
Ebba Ingegerd From (-Svahn),,,,,
Henry Petersen From,,,,,
Richard James Fromberg,,,,,
Mme. Froment-Meurice,,,,,
Paul Alphonse Fromentier,,,,,
Raimundo Roberto Frometa Carrin,,,,,
Severo Frometa Conte,,,,,
Dieter Fromm,,,,,
Fritz Fromm,,,,,
Helena Fromm,,,,,
Uta Frommater,,,,,
Christof Frommelt,,,,,
Louis Frommelt,,,,,
Paul Frommelt,,,,,
Willi Frommelt,,,,,
Henryk Fronczak,,,,,
Alexandros Fronimos,,,,,
Carlos Bienvenido Front Barrera,,,,,
Emmanuel Front,,,,,
Madeleine Front,,,,,
Jaime Frontera Colley,,,,,
Giovanni Michael Frontin,,,,,
"Christopher Clive ""Chris"" Froome",,,,,
Henriette Frschl,,,,,
Karl Frschl,,,,,
Tommi Oskari Frsn,,,,,
Aleksey Mikhaylovich Frosin,,,,,
Oswaldo R. Frossasco,,,,,
Annibale Frossi,,,,,
Dan Frost,,,,,
"David ""Dave"" Frost",,,,,
Frank Frost,,,,,
Hda Frost (-Ducoulombier),,,,,
Helen Paula Frost,,,,,
"Joseph Michael ""Joey"" Frost",,,,,
Ken Frost,,,,,
Lis Birgitta Magdalena Frost (-Danielsson),,,,,
"Theodore Strathy ""Ted"" Frost",,,,,
Emerson Andrew Frostad,,,,,
Lawrence Keith Frostad,,,,,
Knut Mauritz Frostad,,,,,
Walther Sigfrid Frstell,,,,,
Derek Owen Froude,,,,,
Josef Frwis,,,,,
Dan Froyliche,,,,,
"Eugene Joseph Fruehauf, Jr.",,,,,
Katrine Fruelund,,,,,
Oscar Frh,,,,,
Thomas Frhmann,,,,,
"Stephanie ""Steffi"" Frhwirt",,,,,
Tone Gunn Frustl,,,,,
Courtney Jason Fry,,,,,
Harry Brittain Fry,,,,,
Laura Barbara Mansell Fry,,,,,
Lyndsey Fry,,,,,
Ryan Fry,,,,,
"Dayton Featherstone ""Dates"" Fryberger",,,,,
Stefan Fryc,,,,,
Miroslav Fryer,,,,,
Olaf Emil Frydenlund,,,,,
Richard Cornelius Frydenlund,,,,,
Thorbjrn Frydenlund,,,,,
Petr Frydrych,,,,,
Zita Frydrychov,,,,,
Wayne Thomas Frye,,,,,
Paula Tracey Fryer,,,,,
Nils Frykberg,,,,,
Gtrik Wilhelm Adolf Frykman,,,,,
Karl Johan Fryksdahl,,,,,
Gatan Frys,,,,,
Stanisaw Frylewicz,,,,,
Jens Lyder Frlich,,,,,
Svend Theodor Frmming,,,,,
Hege Kirsti Frseth (-Bjrnebye),,,,,
"Robert Brian ""Robbie"" Ftorek",,,,,
Eleftheria Ftouli,,,,,
Raef Ftouni,,,,,
Fu Baolu,,,,,
Fu Baorong,,,,,
Fu Chunyan,,,,,
Fu Haifeng,,,,,
Fu Hsiao-Han,,,,,
Fu Mingxia,,,,,
Fu Shengjun,,,,,
Fu Tianyu,,,,,
Fu Yong,,,,,
Fu Yuanhui,,,,,
Fu Yuling,,,,,
Emanuele Tusitatino Tauolo Fuamatu,,,,,
Beykhan Fuchedzhiev,,,,,
Masumi Fuchise,,,,,
Doris Gudrun Fuchs (-Brause),,,,,
Erich Fuchs,,,,,
Florian Fuchs,,,,,
Gottfried Erik Fuchs,,,,,
Hannes Fuchs,,,,,
Jen Fuchs (-Fekete),,,,,
"James Emanuel ""Jim"" Fuchs",,,,,
Karel Ludvik Fuchs (-Robtn),,,,,
,,,,,Bohemia-1
Lothar Fuchs,,,,,
Mario Fuchs,,,,,
Markus Fuchs,,,,,
Marlene Fuchs (Klein-),,,,,
Martin Fuchs,,,,,
Michael Fuchs,,,,,
Peter Fuchs,,,,,
Robert Fuchs,,,,,
"Ruth Fuchs (Gamm-, -Hellmann)",,,,,
Sabina Fuchs,,,,,
Thomas Fuchs,,,,,
Tracey Claire Fuchs,,,,,
Franz Fuchsberger,,,,,
Helena Fuchsov (Dziurov-),,,,,
Rubn Dario Fuch Almonte,,,,,
Tom Fuik,,,,,
Hortensio Fucil Herrera,,,,,
Paolo Fucile,,,,,
Gregor Fucka,,,,,
Kathryn Louise Fudge,,,,,
Dirk Fudickar,,,,,
Denisse del Carmen Fuenmayor Arcila,,,,,
Johana Beatriz Fuenmayor Choles,,,,,
Manuel Jos Fuenmayor Berra,,,,,
Alejandra Fuentes Persson,,,,,
Andrea Fuentes Fache,,,,,
Arcadio Fuentes,,,,,
Fernando Fuentes Piero,,,,,
Hctor Dayron Fuentes Valds,,,,,
"Hernn Fuentes Besoain, Jr.",,,,,
Humberto Fuentes Rodrguez,,,,,
Jess Fuentes Urtiaga,,,,,
Jos O. Fuentes,,,,,
Jos Luis Fuentes Bustamente,,,,,
"Julio Fuentes Besoain, Sr.",,,,,
Luis Fuentes Gonzlez,,,,,
Luisa Fuentes Quijandria,,,,,
Mercedes Fuentes Valmaa,,,,,
Miguel Fuentes Miranda,,,,,
Orlando E. Fuentes,,,,,
Hctor Oscar Fuentes,,,,,
Pedro Fuentes la Fuente,,,,,
Rosa Fuentes,,,,,
Tina Fuentes Fache,,,,,
Iris Mara Fuentes-Pila Ortz,,,,,
Zulema Fuentes-Pila Ortz,,,,,
Franois Fug,,,,,
"Wilhelm ""Willi"" Fuggerer",,,,,
Jakob Diemer Fuglsang,,,,,
Hauke Fuhlbrgge,,,,,
John William Fuhrer,,,,,
Ramona Fuhrer (-Weisskopf),,,,,
Frantiek Fuhrherr-Nov,,,,,
Mike Fuhrig,,,,,
Ernst Fuhrimann,,,,,
Brbel Fuhrmann (-von Fircks),,,,,
Dagmar Fuhrmann (Jost-),,,,,
Detlef Fuhrmann,,,,,
"Ingeborg ""Inge"" Fuhrmann (-Rohnstein)",,,,,
Karl-Heinz Fuhrmann,,,,,
Seiji Fujie,,,,,
Hiroki Fujiharu,,,,,
Izumi Fujii,,,,,
Kooyu Fujii,,,,,
Mizuki Fujii,,,,,
Raika Fujii,,,,,
Tadamitsu Fujii,,,,,
Takuro Fujii,,,,,
Yasuko Fujii,,,,,
Yumiko Fujii,,,,,
Kyuji Fujikawa,,,,,
Ryoji Fujiki,,,,,
Sonosuke Fujimaki,,,,,
Michiyo Fujimaru,,,,,
Kenji Fujimitsu,,,,,
Hiromasa Fujimori,,,,,
Koshi Fujimori,,,,,
Yuka Fujimori,,,,,
Atsushi Fujimoto,,,,,
Hideo Fujimoto,,,,,
Moeko Fujimoto,,,,,
Motoko Fujimoto,,,,,
Nana Fujimoto,,,,,
Ryoko Fujimoto,,,,,
Shigenobu Fujimoto,,,,,
Shun Fujimoto,,,,,
Takahiro Fujimoto,,,,,
Tatsuo Fujimoto,,,,,
Yoko Fujimoto (-Utida),,,,,
Yoshiko Fujimoto,,,,,
Yuji Fujimoto,,,,,
Yutaka Fujimoto,,,,,
Kazu Fujimura,,,,,
Norio Fujimura,,,,,Essen
Shoko Fujimura,,,,,
Tsutomu Fujimura,,,,,
Kenji Fujinaka,,,,,
Maiko Fujino,,,,,
Tomokazu Fujino,,,,,
Tsuyoshi Fujino,,,,,
Ai Fujinuma,,,,,
Isamu Fujisawa,,,,,
Ryoichi Fujisawa,,,,,
Takashi Fujisawa,,,,,
Yoshinobu Fujishima,,,,,
Sueo Fujishiro,,,,,
Akira Fujita,,,,,
Etsuji Fujita,,,,,
Kenichi Fujita,,,,,
Kiyoshi (Ryan-) Fujita,,,,,
Kozo Fujita,,,,,
Manabu Fujita,,,,,
Reiko Fujita,,,,,
Ryuji Fujita,,,,,
Sachiko Fujita,,,,,
Tatsuzo Fujita,,,,,
Tokuaki Fujita,,,,,
Yoshihiro Fujita,,,,,
Arata Fujiwara,,,,,
Hiroyuki Fujiwara,,,,,
Kazuno Fujiwara,,,,,
Shigeo Fujiwara,,,,,
Shiho Fujiwara,,,,,
Takeshi Salvador Fujiwara Salazar,,,,,
Takumi Fujiwara,,,,,
Yasuharu Fujiwara,,,,,
Yoshihide Fukao,,,,,
Natsuki Fukase,,,,,
Sakuichi Fukazawa,,,,,
Yoko Fukazawa,,,,,
Wanda Stefania Fukaa-Kaczmarczyk,,,,,
Ikuko Fukita,,,,,
Martin Fuksa,,,,,
Petr Fuksa,,,,,
Masahiko Fukube,,,,,
Akiko Fukuda,,,,,
Hiroshi Fukuda,,,,,
Kaoru Fukuda,,,,,
Kiyoko Fukuda,,,,,
Koji Fukuda,,,,,
Masanosuke Fukuda,,,,,
